S.no,Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
1,Cows' milk,1 qt.,976,660,32,40,36,0,48,Dairy products
2,Milk skim,1 qt.,984,360,36,t,t,0,52,Dairy products
3,Buttermilk,1 cup,246,127,9,5,4,0,13,Dairy products
4,"Evaporated, undiluted",1 cup,252,345,16,20,18,0,24,Dairy products
5,Fortified milk,6 cups,"1,419","1,373",89,42,23,1.4,119,Dairy products
6,Powdered milk,1 cup,103,515,27,28,24,0,39,Dairy products
7,"skim, instant",1 1/3 cups,85,290,30,t,t,0,42,Dairy products
8,"skim, non-instant",2/3 cup,85,290,30,t,t,1,42,Dairy products
9,Goats' milk,1 cup,244,165,8,10,8,0,11,Dairy products
10,(1/2 cup ice cream),2 cups,540,690,24,24,22,0,70,Dairy products
11,Cocoa,1 cup,252,235,8,11,10,0,26,Dairy products
12,skim. milk,1 cup,250,128,18,4,3,1,13,Dairy products
13,(cornstarch),1 cup,248,275,9,10,9,0,40,Dairy products
14,Custard,1 cup,248,285,13,14,11,0,28,Dairy products
15,Ice cream,1 cup,188,300,6,18,16,0,29,Dairy products
16,Ice milk,1 cup,190,275,9,10,9,0,32,Dairy products
17,Cream or half-and-half,1/2 cup,120,170,4,15,13,0,5,Dairy products
18,or whipping,1/2 cup,119,430,2,44,27,1,3,Dairy products
19,Cheese,1 cup,225,240,30,11,10,0,6,Dairy products
20,uncreamed,1 cup,225,195,38,t,t,0,6,Dairy products
21,Cheddar,1-in. cube,17,70,4,6,5,0,t,Dairy products
22,"Cheddar, grated cup",1/2 cup,56,226,14,19,17,0,1,Dairy products
23,Cream cheese,1 oz.,28,105,2,11,10,0,1,Dairy products
24,Processed cheese,1 oz.,28,105,7,9,8,0,t,Dairy products
25,Roquefort type,1 oz.,28,105,6,9,8,0,t,Dairy products
26,Swiss,1 oz.,28,105,7,8,7,0,t,Dairy products
27,Eggs raw,2,100,150,12,12,10,0,t,Dairy products
28,Eggs Scrambled or fried,2,128,220,13,16,14,0,1,Dairy products
29,Yolks,2,34,120,6,10,8,0,t,"Fats, Oils, Shortenings"
30,Butter,1T.,14,100,t,11,10,0,t,"Fats, Oils, Shortenings"
31,Butter,1/2 cup,112,113,114,115,116,117,118,"Fats, Oils, Shortenings"
32,Butter,1/4 lb.,112,113,114,115,116,117,118,"Fats, Oils, Shortenings"
33,Hydrogenated cooking fat,1/2 cup,100,665,0,100,88,0,0,"Fats, Oils, Shortenings"
34,Lard,1/2 cup,110,992,0,110,92,0,0,"Fats, Oils, Shortenings"
35,Margarine,1/2 cup,112,806,t,91,76,0,t,"Fats, Oils, Shortenings"
36,"Margarine, 2 pat or",1 T.,14,100,t,11,9,0,t,"Fats, Oils, Shortenings"
37,Mayonnaise,1 T.,15,110,t,12,5,0,t,"Fats, Oils, Shortenings"
38,Corn oil,1 T.,14,125,0,14,5,0,0,"Fats, Oils, Shortenings"
